species_name,classification
Ceanothus_thyrsiflorus,Relict
Cecropia_ficifolia,Competitively Rare
Cecropia_glaziovii,Competitively Rare
Cecropia_insignis,Competitively Rare
Cecropia_longipes,Competitively Rare
Cecropia_obtusa,Competitively Rare
Cecropia_peltata,Common
Cecropia_sciadophylla,Competitively Rare
Cedrela_odorata,Common
Cedrus_atlantica,Common
Cedrus_deodara,Common
Ceiba_pentandra,Potentially Invasive
Celmisia_brevifolia,Competitively Rare
Celmisia_gracilenta,Common
Celtis_africana,Adaptable Survivor
Celtis_sinensis,Keystone
Centaurea_aspera,Common
Centaurea_calcitrapa,Common
Centaurea_diffusa,Common
Centaurea_jacea,Common
Centaurea_melitensis,Common
Centaurea_nigra,Common
Centaurea_pectinata,Competitively Rare
Centaurea_scabiosa,Common
Centaurea_solstitialis,Common
Centaurea_stoebe,Common
Centaurium_erythraea,Common
Centranthus_angustifolius,Competitively Rare
Centranthus_ruber,Common
Centronia_laurifolia,Relict
Cephalanthera_damasonium,Adaptable Survivor
Cephalanthus_occidentalis,Common
Cephalaria_leucantha,Common
Cephalaria_transsylvanica,Competitively Rare
Cerastium_arcticum,Competitively Rare
Cerastium_arvense,Common
Cerastium_arvense_subsp._strictum,Competitively Rare
Cerastium_brachypetalum,Common
Cerastium_cerastoides,Common
Cerastium_diffusum,Common
Cerastium_dubium,Competitively Rare
Cerastium_fontanum,Common
Cerastium_glomeratum,Common
Cerastium_latifolium,Competitively Rare
Cerastium_semidecandrum,Common
Cerastium_tomentosum,Common
Cerastium_uniflorum,Competitively Rare
Ceratocarpus_arenarius,Common
Ceratonia_siliqua,Keystone
Ceratopetalum_apetalum,Relict
Ceratopetalum_gummiferum,Relict
Cercidiphyllum_japonicum,Relict
Cercis_siliquastrum,Keystone
Cercocarpus_montanus,Keystone
Cervaria_rivini,Common
Cespedesia_spathulata,Adaptable Survivor
Cestrum_nocturnum,Adaptable Survivor
Chaerophyllum_australianum,Competitively Rare
Chaerophyllum_eriopodum,Common
Chaerophyllum_hirsutum,Common
Chaerophyllum_pulvinificum,Competitively Rare
Chaerophyllum_temulum,Common
Chaetocarpus_schomburgkianus,Relict
Chamaecyparis_obtusa,Common
Chamaecyparis_pisifera,Competitively Rare
Chamaerops_humilis,Keystone
Cheirolophus_sempervirens,Competitively Rare
Chelidonium_majus,Adaptable Survivor
Chenopodium_desertorum,Common
Chenopodium_desertorum_subsp._anidiophyllum,Common
Chenopodium_ficifolium,Common
Chenopodium_nitrariaceum,Common
Chenopodium_nutans,Common
Chenopodium_opulifolium,Common
Cherleria_sedoides,Adaptable Survivor
Chimaphila_umbellata,Common
Chionanthus_ramiflorus,Competitively Rare
Chionochloa_frigida,Competitively Rare
Chionochloa_macra,Competitively Rare
Chloris_pectinata,Common
Chloris_truncata,Common
Chondrilla_juncea,Common
Chordifex_dimorphus,Relict
Chrysochlamys_eclipes,Competitively Rare
Chrysolepis_chrysophylla,Potentially Invasive
Chrysophyllum_argenteum,Common
Chrysophyllum_cainito,Competitively Rare
Chrysophyllum_lucentifolium,Competitively Rare
Chrysosplenium_oppositifolium,Adaptable Survivor
